"year","sggcd","type","class1","class2","unit","value"
2015,"4200228","environment","organic_matter","discharge","kg_day",63
2015,"4200229","environment","organic_matter","discharge","kg_day",23
2015,"4200230","environment","organic_matter","discharge","kg_day",28
2015,"4200231","environment","organic_matter","discharge","kg_day",52
2015,"4200232","environment","organic_matter","discharge","kg_day",92
2015,"4200233","environment","organic_matter","discharge","kg_day",68
2015,"4200234","environment","organic_matter","discharge","kg_day",61
2015,"4200236","environment","organic_matter","discharge","kg_day",2441
2015,"4200237","environment","organic_matter","discharge","kg_day",169
2015,"4200238","environment","organic_matter","discharge","kg_day",410
2015,"4200239","environment","organic_matter","discharge","kg_day",243
2015,"4200240","environment","organic_matter","discharge","kg_day",167
2015,"4200241","environment","organic_matter","discharge","kg_day",252
2015,"4200242","environment","organic_matter","discharge","kg_day",122
2015,"4200243","environment","organic_matter","discharge","kg_day",50
2015,"4200244","environment","organic_matter","discharge","kg_day",43
2015,"4200247","environment","organic_matter","discharge","kg_day",118
2015,"4200248","environment","organic_matter","discharge","kg_day",37
2015,"4200249","environment","organic_matter","discharge","kg_day",101
2015,"4200250","environment","organic_matter","discharge","kg_day",33
2015,"4200251","environment","organic_matter","discharge","kg_day",48
2015,"4200252","environment","organic_matter","discharge","kg_day",69
2015,"4200253","environment","organic_matter","discharge","kg_day",148
2015,"4200254","environment","organic_matter","discharge","kg_day",95
2015,"4200255","environment","organic_matter","discharge","kg_day",46
2015,"4200256","environment","organic_matter","discharge","kg_day",81
2015,"4200257","environment","organic_matter","discharge","kg_day",107
2015,"4200258","environment","organic_matter","discharge","kg_day",50
2015,"4200259","environment","organic_matter","discharge","kg_day",34
2015,"4200260","environment","organic_matter","discharge","kg_day",18
2015,"4200262","environment","organic_matter","discharge","kg_day",4100
2015,"4200263","environment","organic_matter","discharge","kg_day",364
2015,"4200264","environment","organic_matter","discharge","kg_day",164
2015,"4200265","environment","organic_matter","discharge","kg_day",485
2015,"4200266","environment","organic_matter","discharge","kg_day",127
2015,"4200267","environment","organic_matter","discharge","kg_day",185
2015,"4200268","environment","organic_matter","discharge","kg_day",607
2015,"4200269","environment","organic_matter","discharge","kg_day",117
2015,"4200270","environment","organic_matter","discharge","kg_day",280
2015,"4200271","environment","organic_matter","discharge","kg_day",112
2015,"4200272","environment","organic_matter","discharge","kg_day",76
